sun,日,"""Since there are no circles in Japanese characters, sometimes rectangles or squares have to make do. In this case, this big rectangle is the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">sun</span>. The middle line going through the center horizontally is the equator. Or maybe it's a cloud, moving across the sun. Picture it, but don't actually look at the sun and burn your eyes!""",,22,level1 radical
toe,ト,"""This radical looks just like the katakana character <span lang=""""ja"""">ト</span> (to), which sounds like the word <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">toe</span>. So when you see <span lang=""""ja"""">ト</span>, think toe.""",,23,level1 radical
tree,木,"""Do you see the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">tree</span> in here? It has branches, and then it has the foliage coming down diagonally from it, spreading out like a tree would. That's why this radical is a tree.""",,24,level1 radical
two,二,"""One line plus another line equals <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">two</span> lines. This radical represents the number two. Pretty simple, right? Can you guess what three looks like? I bet you can...""",,25,level1 radical
woman,女,"""This radical looks like a wide person made up of two stacked Xs. Women generally have two XXs for chromosomes, and back in the day they were praised for their wide, child-bearing hips. We may not think of women this way anymore, but way back when Japanese was made, this made them think of a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">woman</span>.""",,26,level1 radical
book,本,"""There's a cut right at the base of this tree. Why would someone cut down a tree? To make a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">book</span> out of it! Imagine living in the old days when you'd have to cut down a tree yourself to write or read a book.""",,85,level2 radical
bow,弓,"""This radical looks like a fancy composite <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">bow</span> people would use to shoot at targets and definitely not any normal living animals. See how the middle part is being pulled back? Imagine holding this bow and firing it at a target shaped like a giant alligator-crab monster.""",,86,level2 radical
child,子,"""This radical is made up of two barbs and one ground radical. If there are barbs on the ground, whom (especially) do you want to avoid that area? You want your <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">child</span> to avoid it, since children are so careless and often don't wear shoes. Imagine how bad you'd feel if you let a child walk around on top of these barbs! Pretty bad, I imagine.""",,87,level2 radical
cow,牛,"""There's a cross and a gun, with the gun going through the cross. You're using the cross to stabilize your gun, because you need to shoot a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">cow</span> for dinner. You bring your cross because you need to bless the cow once you've killed it (and it's also a good stand for your gun). Poor cow.""",,88,level2 radical
dirt,土,"""There's a cross drawn on the ground, making this <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">dirt</span>. You can draw anything in the dirt, it just happens to be a cross this time. Imagine drawing a cross in the dirt with your finger. Feel the dirt get stuck under your fingernail and never forget.""",,89,level2 radical
dog,犬,"""Remember the big guy that helped you remember the big radical? Now the big guy has something on his shoulder... what is that? You look and see that he has a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">dog</span> up there, perched as if it were a parrot or a cat or something. Dogs aren't supposed to be up on people's shoulders like that, but for him? It works!""",,90,level2 radical
evening,夕,"""Do you see the prison and drop radicals making up this radical? This prison is holding onto a drop because it's the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">evening</span>. Evening air does a better job of holding on to drops of liquid like this, which is why everything is covered in dew in the morning.""",,91,level2 radical
eye,目,"""See the iris in the middle of the eyeball? Remember that there are no round things in kanji, so square things take their place. That makes this a pretty realistic, square <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">eye</span>. You just have to squint with your real eyes a bit.""",,92,level2 radical
fire,火,"""See the person radical here? It's got things coming off of it... what are those things—OH MY GOD IT'S <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">FIRE</span>!!! Help, help! Put the fire out!""",,93,level2 radical
five,五,"""If you use your imagination, this radical actually looks like the number """"5."""" You have to remove the vertical line in the bottom left, but once you do that, you have an easy way to remember that this radical means <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">five</span>.""",,94,level2 radical
flag,尸,"""See the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">flag</span> in this radical? There's a pole with a flag on the end of it, blowing in the wind. Basically, this radical looks just like a flag.""",,95,level2 radical
hair,彡,"These three streaks flowing off to the side are three strands of hair. Pretty easy to see and remember, right?",,96,level2 radical
hand,手,"""This one's a little tough to picture, but I believe in you. The barb in the middle is the wrist/arm. Then, there are four regular fingers coming off of it and then one big thumb (the slide radical at the top). So you have four fingers, a thumb, and a wrist. This is what makes up your crazy looking <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">hand</span>.""",,97,level2 radical
