162,"頭","HEAD","top, beginning"
163,"予","IN ADVANCE",
164,"矛","HALBERD",
165,"預","DEPOSIT",
166,"句","PHRASE; HAIKU",
167,"旬","TEN-DAY PERIOD; BEST SEASON",
168,"勺","SHAKU [0.018 liters]",
169,"的","TARGET; ADJECTIVAL SUFFIX",
170,"約","PROMISE; SHORTEN; APPROXIMATELY","summarize"
171,"勿","DO NOT","not, never"
172,"物","THING","usu. physical"
173,"方","DIRECTION; WAY; SQUARE","side; locality; person; method"
174,"防","DEFEND AGAINST",
175,"面","FACE","facet; surface; mask"
176,"画","PICTURE; DRAW UP A PLAN","draw; kanji stroke"
177,"両","BOTH",
178,"岡","HILL",
179,"満","FULL","whole"
180,"顔","FACE",
181,"産","GIVE BIRTH; PRODUCE",
182,"同","SAME","similar"
183,"向","TURN TOWARD","direction; other side"
184,"尚","STILL (MORE); VALUE HIGHLY",
185,"高","HIGH; AMOUNT","tall; expensive; quantity"
186,"圧","PRESSURE","overwhelm"
187,"地","GROUND; PLACE","land"
188,"池","POND","reservoir"
189,"他","OTHER",
190,"集","GATHER","collect"
191,"進","ADVANCE",
192,"込","MOVE INWARD [into]; EMPHATIC VERBAL SUFFIX",
193,"斤","600 g UNIT; AXE",
194,"近","NEAR; RECENT",
195,"辺","VICINITY; BORDERLAND","side; outer region"
196,"最","MOST","-est"
197,"皿","PLATE",
198,"血","BLOOD",
199,"温","WARM","to touch, heartwarming"
200,"湿","MOIST",
201,"爪","CLAW","nail, plectrum"
202,"瓜","MELON","gourd"
203,"巾","CLOTH",
204,"布","CLOTH; SPREAD",
205,"市","CITY; MARKET",
206,"吊","HANG","suspend"
207,"泉","SPRING",
208,"原","PLAIN; ORIGINAL","field; primitive"
209,"源","SOURCE","origin"
210,"線","LINE",
211,"綿","COTTON",
212,"絹","SILK",
213,"錦","BROCADE",
214,"願","WISH; ASK A FAVOR",
215,"内","INSIDE",
216,"肉","FLESH",
217,"猪","WILD BOAR",
218,"豚","PIG",
219,"家","HOUSE; FAMILY","home; House"
220,"吾","EGO",
221,"我","SELF",
222,"語","WORD; LANGUAGE; TELL",
223,"伝","TRANSMIT",
224,"転","TURN [into]","roll over"
225,"芸","ART","craft; preformance"
226,"会","MEET; SOCIETY","gather"
227,"合","COMBINE; FIT","join"
228,"今","PRESENT; THIS","now"
229,"令","COMMAND",
230,"念","THOUGHTS","mind, wish"
231,"印","SEAL","mark"
232,"命","ORDER; LIFE; FATE","command"
233,"亡","DECEASED",
234,"米","RICE; AMERICA",
235,"粒","GRAIN",
236,"和","HARMONIOUS; PEACE; JAPAN","calm"
237,"私","PRIVATE; I",
238,"広","WIDE","specious"
239,"細","SLENDER; MINUTE",
240,"林","FOREST",
241,"森","THICK WOODS",
242,"松","PINE",
243,"竹","BAMBOO",
